icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,true_track,vertical_rate,sensors,geo_altitude,squawk,spi,position_source
a5f87d,N484LP,United States,2026-09-07 06:48:46,2026-09-07 06:48:52,-112.2975,33.5281,,True,0.0,205.31,,,,,False,0
a88d10,DAL8838,United States,2026-09-07 06:48:59,2026-09-07 06:48:59,-74.2352,40.7487,1173.48,False,140.54,213.81,0.0,,1219.2,4244,False,0
a2cd90,N28VU,United States,2026-09-07 06:49:00,2026-09-07 06:49:00,-83.2526,33.671,3246.12,False,121.66,283.45,-4.23,,3368.04,5260,False,0
a00994,N101MX,United States,2026-09-07 06:48:59,2026-09-07 06:48:59,-115.8458,34.7908,8808.72,False,216.63,271.22,-9.43,,9296.4,2570,False,0
0d1201,VOI1851,Mexico,2026-09-07 06:49:00,2026-09-07 06:49:00,-121.0062,41.4201,10058.4,False,231.82,170.93,0.0,,10386.06,3535,False,0
aa8114,UAL2416,United States,2026-09-07 06:48:52,2026-09-07 06:48:57,-122.39,37.6214,,True,0.0,205.31,,,,,False,0
ad572a,,United States,2026-09-07 06:48:59,2026-09-07 06:49:00,-98.1191,41.5947,5151.12,False,139.04,125.51,0.0,,5471.16,,False,0
a40cd9,FFT1876,United States,2026-09-07 06:48:59,2026-09-07 06:48:59,-98.7706,34.9912,10668.0,False,248.68,104.5,0.0,,11376.66,,False,0
a1036b,N16437,United States,2026-09-07 06:48:59,2026-09-07 06:48:59,-87.5114,40.7383,1165.86,False,71.05,349.99,0.0,,1196.34,,False,0
a1f021,N224CT,United States,2026-09-07 06:48:59,2026-09-07 06:49:00,-115.5174,36.0341,4107.18,False,103.01,127.9,0.0,,4297.68,,False,0
0d10e4,VOI185,Mexico,2026-09-07 06:48:59,2026-09-07 06:48:59,-116.8374,32.3694,3086.1,False,152.78,117.26,12.03,,3230.88,,False,0
0d10fe,VOI702,Mexico,2026-09-07 06:48:59,2026-09-07 06:49:00,-88.2399,41.949,1470.66,False,102.03,21.91,0.0,,1546.86,3256,False,0
a008c9,DAL2866,United States,2026-09-07 06:48:53,2026-09-07 06:48:59,-93.2103,44.8857,,True,0.0,210.94,,,,3356,False,0
a84699,EJA632,United States,2026-09-07 06:46:11,2026-09-07 06:46:11,-77.4387,38.9364,,True,13.38,180.0,,,,,False,0
ad5711,N959LA,United States,2026-09-07 06:48:59,2026-09-07 06:48:59,-118.1007,33.9481,350.52,False,49.07,60.48,3.58,,312.42,,False,0
0d118f,MXA1204,Mexico,2026-09-07 06:47:57,2026-09-07 06:48:08,-116.9331,32.5362,266.7,False,72.32,278.59,-2.93,,220.98,1376,False,0
a38b61,JBU994,United States,2026-09-07 06:48:09,2026-09-07 06:48:11,-100.2728,40.5888,10058.4,False,251.32,75.05,0.0,,10683.24,3270,False,0
