icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,true_track,vertical_rate,sensors,geo_altitude,squawk,spi,position_source
a5f87d,N484LP,United States,2026-09-07 07:00:47,2026-09-07 07:00:47,-112.2942,33.5308,,True,0.77,208.12,,,,,False,0
a1ad46,N207NX,United States,2026-09-07 07:02:35,2026-09-07 07:02:35,-109.2238,36.8262,3223.26,False,113.95,50.13,-2.6,,3390.9,,False,0
a88d10,DAL8838,United States,2026-09-07 07:02:35,2026-09-07 07:02:36,-74.9589,39.9539,586.74,False,109.84,211.01,0.0,,617.22,4244,False,0
a2cd90,N28VU,United States,2026-09-07 07:02:36,2026-09-07 07:02:36,-84.1248,34.0744,937.26,False,105.5,275.88,-3.58,,944.88,5260,False,0
a00994,N101MX,United States,2026-09-07 07:02:35,2026-09-07 07:02:35,-117.6254,34.6787,5158.74,False,180.52,262.63,-9.1,,5394.96,0520,False,0
0d1201,VOI1851,Mexico,2026-09-07 07:02:36,2026-09-07 07:02:36,-120.819,39.7456,10050.78,False,226.24,176.61,0.0,,10454.64,3535,False,0
aa8114,UAL2416,United States,2026-09-07 07:02:31,2026-09-07 07:02:35,-122.3897,37.6221,,True,1.03,146.25,,,,,False,0
ad572a,,United States,2026-09-07 07:02:36,2026-09-07 07:02:36,-97.0837,41.0357,2499.36,False,121.05,117.87,-7.8,,2644.14,,False,0
a40cd9,FFT1876,United States,2026-09-07 07:02:35,2026-09-07 07:02:35,-96.6362,34.5211,10668.0,False,247.89,105.65,0.33,,11361.42,,False,0
a1036b,N16437,United States,2026-09-07 07:02:35,2026-09-07 07:02:35,-87.628,41.2515,1165.86,False,70.54,349.92,0.0,,1196.34,,False,0
a1f021,N224CT,United States,2026-09-07 07:02:35,2026-09-07 07:02:36,-114.7987,35.5733,4114.8,False,99.95,128.52,0.33,,4312.92,,False,0
0d10e4,VOI185,Mexico,2026-09-07 07:02:36,2026-09-07 07:02:36,-115.3473,31.6541,8633.46,False,221.3,123.43,3.9,,9182.1,1510,False,0
0d10fe,VOI702,Mexico,2026-09-07 06:58:21,2026-09-07 06:58:21,-87.8907,41.9716,,True,4.63,0.0,,,,3256,False,0
a008c9,DAL2866,United States,2026-09-07 07:02:34,2026-09-07 07:02:34,-93.2103,44.8857,,True,0.0,210.94,,,,3356,False,0
ad5711,N959LA,United States,2026-09-07 07:02:35,2026-09-07 07:02:35,-118.1294,33.9676,350.52,False,49.97,241.06,-0.65,,312.42,1244,False,0
ac7e1c,TAI561,United States,2026-09-07 07:02:31,2026-09-07 07:02:36,-122.3835,37.6095,,True,4.12,64.69,,,,,False,0
a38b61,JBU994,United States,2026-09-07 07:02:35,2026-09-07 07:02:35,-97.7859,41.0647,10058.4,False,246.94,76.63,0.0,,10675.62,3270,False,0
adee38,N997SD,United States,2026-09-07 07:02:35,2026-09-07 07:02:36,-117.1437,33.7038,891.54,False,62.35,259.06,-1.95,,883.92,,False,0
0d116a,VOI3047,Mexico,2026-09-07 07:02:35,2026-09-07 07:02:35,-116.8607,32.5075,670.56,False,83.37,294.03,-3.58,,662.94,0005,False,0
ad9e73,JBU777,United States,2026-09-07 07:02:35,2026-09-07 07:02:35,-100.4034,37.2014,10972.8,False,225.4,258.28,0.0,,11704.32,3456,False,0
a1adab,SKWMX207,United States,2026-09-07 07:01:53,2026-09-07 07:01:53,-97.5873,35.3944,,True,10.8,0.0,,,,,False,0
0d111b,VOI3297,Mexico,2026-09-07 07:02:36,2026-09-07 07:02:36,-112.8348,31.0067,10965.18,False,242.29,297.44,0.33,,11696.7,,False,0
aae391,N800TL,United States,2026-09-07 07:02:36,2026-09-07 07:02:36,-82.2391,38.5732,11277.6,False,215.22,61.6,-0.33,,11795.76,2476,False,0
0d1154,VOI504,Mexico,2026-09-07 07:02:35,2026-09-07 07:02:35,-88.9225,30.6182,11277.6,False,221.92,50.74,0.0,,11963.4,,False,0
a8de33,DAL391,United States,2026-09-07 07:02:35,2026-09-07 07:02:35,-115.2466,40.5764,10668.0,False,273.94,82.55,0.33,,11094.72,,False,0
ac48ac,SWA4438,United States,2026-09-07 07:02:35,2026-09-07 07:02:35,-121.9283,37.3665,,True,3.09,137.81,,,,1660,False,0
a75b65,AAL2214,United States,2026-09-07 07:02:36,2026-09-07 07:02:36,-113.0049,43.1157,10073.64,False,267.08,88.57,0.33,,10408.92,,False,0
a6bfa6,DAL652,United States,2026-09-07 07:02:30,2026-09-07 07:02:36,-122.3002,47.441,,True,0.0,45.0,,,,,False,0
a1cffd,MXY527,United States,2026-09-07 07:02:36,2026-09-07 07:02:36,-98.1729,38.104,10668.0,False,244.08,85.53,-0.33,,11369.04,2007,False,0
ad675f,GLG7397,United States,2026-09-07 07:02:35,2026-09-07 07:02:36,-77.7136,29.7126,10972.8,False,244.62,177.35,0.0,,11612.88,,False,0
aa3b99,N759BH,United States,2026-09-07 07:00:20,2026-09-07 07:00:20,-72.0879,41.6139,525.78,False,69.3,139.21,-0.33,,533.4,,False,0
a59398,AAL2410,United States,2026-09-07 07:02:36,2026-09-07 07:02:36,-121.4907,37.9913,5722.62,False,239.73,89.88,8.78,,5958.84,3334,False,0
a258b4,CSI502,United States,2026-09-07 07:02:35,2026-09-07 07:02:36,-107.6906,35.2527,4792.98,False,133.63,286.55,0.65,,5059.68,,False,0
a5939c,ASA367,United States,2026-09-07 07:02:35,2026-09-07 07:02:35,-101.9161,46.2494,10668.0,False,262.07,97.56,0.0,,11216.64,,False,0
a5e391,N479LP,United States,2026-09-07 07:02:22,2026-09-07 07:02:22,-112.2941,33.5304,,True,3.09,25.31,,,,,False,0
a138b8,AAL2751,United States,2026-09-07 07:02:28,2026-09-07 07:02:33,-115.1362,36.0818,,True,0.0,272.81,,,,,False,0
