icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,true_track,vertical_rate,sensors,geo_altitude,squawk,spi,position_source
a5f87d,N484LP,United States,2026-09-07 06:58:08,2026-09-07 06:58:08,-112.2957,33.5282,,True,2.83,25.31,,,,,False,0
a88d10,DAL8838,United States,2026-09-07 06:58:17,2026-09-07 06:58:18,-74.7774,40.187,1173.48,False,126.35,211.68,0.33,,1219.2,4244,False,0
a2cd90,N28VU,United States,2026-09-07 06:58:18,2026-09-07 06:58:18,-83.8606,33.9376,1485.9,False,120.41,315.17,-2.93,,1508.76,5260,False,0
a00994,N101MX,United States,2026-09-07 06:58:17,2026-09-07 06:58:17,-117.0913,34.7346,6705.6,False,195.96,262.91,-0.33,,7040.88,0520,False,0
0d1201,VOI1851,Mexico,2026-09-07 06:58:18,2026-09-07 06:58:18,-120.8601,40.2713,10066.02,False,228.84,176.52,0.33,,10447.02,3535,False,0
aa8114,UAL2416,United States,2026-09-07 06:58:15,2026-09-07 06:58:17,-122.39,37.6214,,True,0.0,205.31,,,,,False,0
ad572a,,United States,2026-09-07 06:58:17,2026-09-07 06:58:17,-97.375,41.1916,4053.84,False,126.25,126.22,-6.83,,4290.06,,False,0
a40cd9,FFT1876,United States,2026-09-07 06:58:17,2026-09-07 06:58:17,-97.3108,34.6738,10660.38,False,248.97,105.21,-0.65,,11361.42,,False,0
a1f021,N224CT,United States,2026-09-07 06:58:17,2026-09-07 06:58:18,-115.0253,35.7196,4107.18,False,102.2,128.25,-0.33,,4305.3,,False,0
0d10e4,VOI185,Mexico,2026-09-07 06:58:17,2026-09-07 06:58:18,-115.8415,31.9262,7391.4,False,210.8,117.94,5.2,,7840.98,5470,False,0
0d10fe,VOI702,Mexico,2026-09-07 06:58:09,2026-09-07 06:58:14,-87.8907,41.971,,True,6.17,0.0,,,,3256,False,0
a008c9,DAL2866,United States,2026-09-07 06:58:17,2026-09-07 06:58:17,-93.2103,44.8857,,True,0.0,210.94,,,,3356,False,0
ada5ee,,United States,2026-09-07 06:54:59,2026-09-07 06:54:59,-118.4168,33.9474,,True,6.69,81.56,,,,,False,0
a84699,EJA632,United States,2026-09-07 06:53:15,2026-09-07 06:53:20,-77.4385,38.9518,,True,11.32,0.0,,,,,False,0
